Player,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Squads top1,Squads kd,Squads winRatio,Squads matches,Squads kills
Elite Jivi,501,2.7,9.4,5319,13024,639,2.81,11.8,5433,13483
ʀɢʟᴜ,107,1.25,1.8,6038,7437,398,1.65,4.2,9459,14946
BasCB,295,2.41,9.6,3066,6665,805,2.07,8.6,9389,17774
Lé Petit Muniir,158,1.24,1.4,11488,14014,324,1.53,2.7,12072,18031
Chulo-33,29,1.33,1.8,1632,2136,158,1.78,6.1,2610,4366
Maxííí,352,1.29,2.7,13016,16310,304,1.76,5,6048,10091
SW_Ge0Mike,858,1.35,9.6,8934,10939,213,1.17,4.3,5006,5626
r3x4k0,47,0.87,1.9,2488,2133,125,0.57,3.1,4068,2243
Simply Swanky,33,0.92,1,3363,3059,299,1.26,3,10045,12287
jwfΨ,225,2.16,6.8,3321,6683,240,1.87,6.9,3476,6065
T-REKTHØS,9,0.87,1.1,831,715,128,1.04,4.1,3121,3098
Tfx R3HAN,317,2.19,6.2,5094,10465,265,2.02,6.8,3890,7319
DonNagato,148,1.52,1.8,8084,12089,167,2.23,5,3330,7057
PT_TURTOR,253,1.84,5.9,4322,7498,458,2.2,8.8,5192,10405
FaZe ClipΖ,439,2.08,2.7,16214,32844,405,2.11,5.8,6947,13812
アordy ϟ,36,1.02,1.1,3336,3363,206,1.38,3.9,5342,7065
CӇAPU,329,1.83,3.4,9693,17103,230,2.26,4.8,4814,10381
davidsb123,1,0.84,0.2,468,394,86,1.11,2,4326,4700
κιlled βγ αlρhα,143,1.22,1.7,8391,10095,337,1.36,4.4,7740,10083
mcKarlus,8,0.95,0.4,1961,1853,211,1.17,2.7,7917,9043
Twitch SweatBall,225,1.94,2.5,8876,16805,255,2.4,4.6,5487,12579
weem ヅ,204,1.65,4.3,4796,7598,615,3.69,12.4,4956,15999
DoorKey on OF,72,1.11,2.8,2563,2776,307,1.44,6.9,4462,5990
LIDEČKOVJAN PIČO,10,1.2,0.7,1408,1678,313,1.46,3.7,8387,11780
SticksIsHard,59,1.69,2.7,2211,3634,31,1.09,1.8,1701,1824
ᵗᵗᵛ ArgueraSV ʸᵗ,579,2.7,3.6,16056,41854,191,3.31,5.3,3632,11380
HurricaneJoe2019,244,0.68,8.4,2914,1806,171,0.99,6.6,2574,2375
SquirtleLive,139,1.59,1.8,7926,12414,409,1.93,4.7,8612,15848
Tibo544,214,1.49,3.2,6611,9561,758,2.89,11.3,6688,17142
DomenSS,249,1.43,3.4,7295,10068,212,1.86,4.6,4611,8204
わいのショットガンは３０ダメージ,52,2.29,5.1,1023,2224,1478,3.95,25.6,5783,17004
P R Λ X,273,2.02,3.5,7739,15118,392,2.14,5.2,7491,15209
ᵀʷⁱᵗᶜʰRippersan,23,1.35,1.6,1398,1860,213,1.89,4.6,4656,8411
Codigo Drogo,123,1.37,2.5,4939,6580,273,2.27,7.9,3462,7250
fknLEGIT,136,1.42,2.5,5337,7378,388,1.79,4.3,8971,15350
GE D4m ӝ,331,2,4.2,7969,15307,377,2.25,4.9,7764,16649
メHawks,213,2.24,6.5,3294,6896,107,1.13,3,3625,3983
ricardincanayin,96,1.35,1.6,6055,8062,425,2.01,5.5,7748,14747
GeeCBee,83,1.49,3,2795,4038,277,1.77,4.3,6378,10808
herobiscuit,25,1.24,0.6,4391,5414,170,1.73,2.7,6270,10537
Noel Brabo do AM,558,1.74,3.8,14770,24748,205,1.69,4.2,4885,7902
ouver 67,377,2.65,6.1,6179,15389,472,2.97,7.9,6008,16421
FireDrâgon,447,1.6,2.4,18435,28780,18,1.46,1.6,1142,1637
khaznajebemajke,116,1.73,0.8,14862,25485,128,1.86,2.9,4387,7925
VVL Nando,119,1.77,2.8,4313,7441,169,1.53,4.1,4153,6107
elreydelmundo92,72,1.01,1,7420,7446,332,1.71,4.7,7035,11456
노아 aka Noah,289,1.7,2.2,13073,21763,189,1.49,2.7,7117,10332
Swingin-Wood,150,1.04,2.9,5181,5223,98,1.35,1.5,6348,8425
AOS nebs,307,2.93,4.2,7261,20371,354,3.28,7.5,4697,14231
LG Joji,394,3.5,7.7,5118,16531,588,3.35,8.9,6611,20149
ConnectionSuxs,751,0.94,5.5,13705,12234,0,0,0,4,0
RFX_Lox,149,1.5,2.9,5118,7434,362,1.62,6.1,5894,8959
Twitch Ceyrrox,489,1.22,6.7,7337,8381,252,1.44,5.5,4560,6202
al hamdullah,133,1.78,1.3,10387,18235,262,2.35,4.3,6095,13696
Javi-Burgos,22,0.58,1.8,1217,699,199,0.94,3.2,6284,5744
CG Cryptic,252,1.61,1.9,13501,21271,263,1.9,3.8,6922,12623
Faquı,548,3.65,11.8,4635,14937,477,4.4,18.2,2620,9421
Sartori meu freg,198,1.61,1.4,14060,22334,268,1.65,3.7,7246,11482
Dark is Gucci,284,2.73,7.9,3583,9013,623,3.09,10.7,5830,16110
DaNya ау лол ӝ,80,1.51,1.6,5133,7618,339,1.99,5.1,6585,12434
semisoft25inch,934,1.17,10.7,8697,9072,259,1.1,5.8,4439,4588
bushinhö,194,1.03,2.2,8758,8850,211,1.16,3.7,5643,6328
im bloom,26,2.03,3.5,736,1440,321,2.86,7.8,4117,10842
Twitch kaOzs_,396,3.42,13.2,3001,8911,491,2.91,10.2,4837,12628
slxyher,310,1.69,5.1,6035,9679,1367,3.34,15.1,9046,25626
RD-Antony,71,1.1,1.9,3763,4048,904,3.3,16.5,5475,15107
O-HO-HO-HOǃ,161,1.68,2.3,7105,11661,380,2.87,8.2,4657,12259
