Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed
croatianbuffalo,616382,108,1.67,5.1,2104,3341,26384
Max Ax3,1649772,625,2.22,6.6,9490,19724,56586
Grizi Χewer,1422900,762,3.95,9,8502,30578,48914
d0rrk,189730,26,1.31,1.2,2209,2865,7877
NEOObtwᵀᵀⱽ,1684771,825,2.62,8.9,9319,22244,62059
危険を恐れて泣いてる,922945,40,0.82,0.5,7897,6424,41321
78 Rotory cl,1810808,489,2.85,3.9,12458,34067,62555
ᵀᵀⱽ LupiiNz,69747,10,0.84,0.6,1756,1464,3049
FuScOnEd,752417,113,1.97,4,2817,5339,29613
222 GaminG on FB,75710,9,0.97,2.5,361,342,3562
Jukіe,762059,222,2.19,3.9,5628,11835,31251
TWITCHXANDYKAWAI,897161,313,1.96,7,4465,8153,33802
TNG NicFN,1315118,643,3.14,8.2,7807,22485,51327
mcdabz,672839,156,1.8,3.8,4142,7155,29032
iTzMarcli,1669997,292,1.62,3.3,8821,13833,68792
GAWS TV,1097353,599,3.4,9.2,6508,20101,40468
B0MII 波米,301738,70,1.55,2.4,2877,4358,12101
Romp N Stompy,1300566,312,1.46,3.2,9648,13599,50766
sea_dweller,2841010,552,1.78,3.5,15853,27239,109355
QuiltedMaple,885753,377,2.26,5.6,6687,14243,32819
NotsKaiky,874581,111,1.46,1.7,6537,9402,33095
wilaxx59,548766,21,0.75,0.7,2954,2192,27018
LamontNastyTTV,349033,60,1.4,2,2954,4041,15792
CooL 酷,3037531,438,1.4,2.2,20350,27804,115553
TocToc-Faaaaio,402779,176,2.1,8.5,2069,3966,15026
ℵℶ ℵℶℵ,2213094,91,1.34,0.4,25420,33854,74322
cr yusewimps,1347075,433,2.95,8.2,5263,14244,54835
BØRRACHØ,323876,55,0.71,1.7,3264,2286,14783
OG-nutone76,143354,15,0.71,1.4,1071,755,6096
njethro,319929,121,2.11,11.6,1047,1953,12859
Bart LovesMajo,772379,129,1.23,2.5,5219,6275,32484
Batatinha_Chips,305462,21,0.96,1.4,1534,1446,13489
hateme4that,858630,224,1.68,5.1,4353,6939,33366
War-Ghost,1713735,262,1.81,2.4,10757,19040,62470
Roadkiller.,821696,120,1.77,2.5,4855,8363,33269
EssMGeeSprAY_TTV,1496525,68,0.87,0.6,12055,10449,67251
Visu Akusto,1738916,318,2.62,3.2,10032,25445,62386
kokosinela,2606829,252,0.95,1.7,14963,13946,111625
ɱąɖŋɛҳųʂ,287942,37,1.19,2.9,1292,1489,12239
Roger_Rabbitツ,133159,4,0.3,0.5,865,262,6608
Twitch kargeaux,456959,84,2,2.8,2987,5813,16510
Kelu04,649549,264,2.43,6.6,3990,9063,22054
zaviria,1835637,98,0.91,0.8,12362,11129,86633
just bubble〆,824082,157,1.6,2.2,7252,11349,35788
DELETE Kloff,760102,436,2.12,11.9,3666,6857,28541
mrJonnyM,523719,163,1.66,7.1,2306,3561,20361
Lxckyer,1479151,285,1.71,3.1,9336,15448,57801
DaddyWrzeszczyk,1148354,611,2.37,6.1,9956,22171,46485
SPCambo9,2385619,910,2.02,10.4,8750,15858,100840
Braxtonjames2020,1294907,704,4.32,15.1,4675,17153,41338
Deyf5 en twitch,1214774,392,1.62,4.2,9322,14479,47765
leafkemon TTV,975226,633,2.74,6.9,9202,23508,35146
ttvSomeSaucy,199022,30,1.19,2,1524,1773,8015
ᴰᵀ RISE oF AMIR,2346919,207,1.15,1.4,14429,16338,104420
Mma A7Aψ,1746880,681,2.72,10.1,6736,16491,62126
shakatop,997297,180,1.06,4.4,4126,4201,42596
DXR_R1pPeR ツ,413059,84,1.01,1.6,5117,5104,16896
OMGさん,52735,20,1.74,4.6,432,715,1860
GoodGuyBambi,39987,42,1.53,4.3,966,1414,1550
JK BRaVE YT,330809,51,1.31,2.5,2008,2559,14318
EryKDragoN,649758,303,1.85,4,7539,13401,25215
adv dawinǃ,2345755,341,1.35,1.6,21802,28896,91853
